Fecha,EquipoLocal,EquipoVisitante,Prob_Victoria_Local,Prob_Empate,Prob_Victoria_Visitante,golesLocalFinal,golesVisitanteFinal,golesLocalDescanso,golesVisitanteDescanso,golesLocalReal,golesVisitanteReal,Ganador
2021-01-21,Eibar,Ath Madrid,34,28,36,1,1,0,1,1.0,2.0,A
2021-01-22,Levante,Valladolid,60,22,16,2,1,1,0,2.0,2.0,D
2021-01-23,Huesca,Villarreal,24,29,45,1,2,0,1,0.0,0.0,D
2021-01-23,Sevilla,Cadiz,52,23,24,2,1,1,0,3.0,0.0,H
2021-01-23,Sociedad,Betis,47,25,26,2,1,1,0,2.0,2.0,D
2021-01-23,Alaves,Real Madrid,30,28,40,1,1,1,1,1.0,4.0,A
2021-01-24,Osasuna,Granada,37,29,33,1,1,1,1,3.0,1.0,H
2021-01-24,Elche,Barcelona,29,28,42,1,2,0,1,0.0,2.0,A
2021-01-24,Celta,Eibar,46,26,26,1,1,1,0,1.0,1.0,D
2021-01-24,Ath Madrid,Valencia,64,20,14,2,1,1,0,3.0,1.0,H
2021-01-25,Ath Bilbao,Getafe,48,26,24,2,1,1,0,5.0,1.0,H
2021-01-29,Valladolid,Huesca,55,25,18,2,1,1,0,1.0,3.0,A
2021-01-30,Eibar,Sevilla,38,26,34,1,1,0,1,0.0,2.0,A
2021-01-30,Real Madrid,Levante,60,20,18,2,1,1,0,1.0,2.0,A
2021-01-30,Valencia,Elche,51,26,22,2,1,1,0,1.0,0.0,H
2021-01-30,Villarreal,Sociedad,54,21,24,2,1,1,0,1.0,1.0,D
2021-01-31,Getafe,Alaves,50,25,23,2,1,1,0,0.0,0.0,D
2021-01-31,Cadiz,Ath Madrid,36,28,34,1,1,1,1,2.0,4.0,A
2021-01-31,Granada,Celta,52,24,22,2,1,1,0,0.0,0.0,D
2021-01-31,Barcelona,Ath Bilbao,58,20,21,2,1,1,0,2.0,1.0,H
2021-02-01,Betis,Osasuna,62,21,15,2,1,1,0,1.0,0.0,H
2021-02-05,Alaves,Valladolid,42,28,28,1,1,1,0,1.0,0.0,H
2021-02-06,Levante,Granada,54,22,22,2,1,1,0,2.0,2.0,D
2021-02-06,Huesca,Real Madrid,23,29,46,1,2,0,1,1.0,2.0,A
2021-02-06,Elche,Villarreal,25,29,44,1,2,0,1,2.0,2.0,D
2021-02-06,Sevilla,Getafe,64,20,14,2,1,1,0,3.0,0.0,H
2021-02-07,Sociedad,Cadiz,56,22,21,2,1,1,0,4.0,1.0,H
2021-02-07,Ath Bilbao,Valencia,59,23,16,2,1,1,0,1.0,1.0,D
