Fecha,EquipoLocal,EquipoVisitante,Prob_Victoria_Local,Prob_Empate,Prob_Victoria_Visitante,golesLocalFinal,golesVisitanteFinal,golesLocalDescanso,golesVisitanteDescanso,golesLocalReal,golesVisitanteReal,Ganador
11/4/2021,Villarreal,Osasuna,48,24,27,2,1,1,0,1.0,2.0,A
11/4/2021,Valencia,Sociedad,48,24,27,2,1,1,0,2.0,2.0,D
11/4/2021,Valladolid,Granada,48,24,27,2,1,1,0,1.0,2.0,A
11/4/2021,Betis,Ath Madrid,48,24,27,2,1,1,0,1.0,1.0,D
12/4/2021,Celta,Sevilla,48,24,27,2,1,1,0,3.0,4.0,A
18/04/2021,Osasuna,Elche,53,27,19,2,1,1,0,2.0,0.0,H
18/04/2021,Sociedad,Sevilla,49,24,25,2,1,1,0,1.0,2.0,A
18/04/2021,Alaves,Huesca,49,26,23,2,1,1,0,1.0,0.0,H
18/04/2021,Ath Madrid,Eibar,60,24,15,2,1,1,0,5.0,0.0,H
18/04/2021,Betis,Valencia,49,26,24,2,1,1,0,2.0,2.0,D
18/04/2021,Cadiz,Celta,36,29,34,1,1,1,1,0.0,0.0,D
18/04/2021,Getafe,Real Madrid,28,26,44,1,1,0,1,0.0,0.0,D
18/04/2021,Levante,Villarreal,36,27,35,1,1,1,1,1.0,5.0,A
21/04/2021,Levante,Sevilla,37,27,35,1,1,1,1,0.0,1.0,A
21/04/2021,Osasuna,Valencia,36,28,34,1,1,1,1,3.0,1.0,H
21/04/2021,Betis,Ath Bilbao,55,24,19,2,1,1,0,0.0,0.0,D
21/04/2021,Alaves,Villarreal,25,29,45,1,1,0,1,2.0,1.0,H
21/04/2021,Elche,Valladolid,55,25,19,2,1,1,0,1.0,1.0,D
21/04/2021,Cadiz,Real Madrid,36,26,37,1,1,1,1,0.0,3.0,A
22/04/2021,Ath Madrid,Huesca,58,24,16,2,1,1,0,2.0,0.0,H
22/04/2021,Granada,Eibar,63,22,13,2,1,1,0,4.0,1.0,H
22/04/2021,Sociedad,Celta,52,24,22,2,1,1,0,2.0,1.0,H
22/04/2021,Barcelona,Getafe,63,20,16,2,1,1,0,5.0,2.0,H
24/04/2021,Elche,Levante,45,26,27,1,1,1,0,1.0,0.0,H
24/04/2021,Valladolid,Cadiz,51,26,22,2,1,1,0,1.0,1.0,D
24/04/2021,Valencia,Alaves,45,28,25,1,1,1,1,1.0,1.0,D
