Temporada,Fecha,EquipoLocal,GolesFavL5,GolesConL5,PuntosL5,PosicionLocal,GolesFav1L5,GolesCont1L5,EquipoVisitante, GolesFavV5,GolesConV5,PuntosV5,PosicionVisitante,GolesFav1V5,GolesCon1V5,Ganador,Goles Local,Goles Visitante,Goles Local primera parte,Goles Visitante primera parte
2020-21,22/11/2020,Granada,11,7,9,7,6.0,5.0,Valladolid,5,8,3,16,2.0,3.0,A,1.0,3.0,0.0,1.0
2020-21,22/11/2020,Alaves,3,10,3,19,2.0,3.0,Valencia,6,5,8,11,2.0,3.0,D,2.0,2.0,2.0,0.0
2020-21,23/11/2020,Ath Bilbao,3,5,4,18,3.0,3.0,Betis,7,6,8,4,2.0,3.0,H,4.0,0.0,2.0,0.0
2020-21,27/11/2020,Valladolid,5,8,5,19,2.0,3.0,Levante,6,5,6,13,2.0,3.0,D,1.0,1.0,0.0,0.0
2020-21,28/11/2020,Elche,2,10,3,19,2.0,2.0,Cadiz,2,6,2,14,0.0,1.0,D,1.0,1.0,1.0,0.0
2020-21,28/11/2020,Valencia,4,10,2,15,2.0,4.0,Ath Madrid,14,4,12,1,3.0,2.0,A,0.0,1.0,0.0,0.0
2020-21,28/11/2020,Huesca,3,8,3,17,0.0,3.0,Sevilla,6,5,9,3,1.0,2.0,A,0.0,1.0,0.0,0.0
2020-21,28/11/2020,Real Madrid,12,4,13,2,5.0,3.0,Alaves,5,3,8,18,2.0,1.0,A,1.0,2.0,0.0,1.0
2020-21,29/11/2020,Barcelona,10,6,9,5,9.0,2.0,Osasuna,7,6,9,10,3.0,2.0,H,4.0,0.0,2.0,0.0
2020-21,29/11/2020,Getafe,8,1,10,9,5.0,1.0,Ath Bilbao,12,6,11,11,4.0,2.0,D,1.0,1.0,0.0,1.0
2020-21,29/11/2020,Celta,6,5,7,12,3.0,0.0,Granada,7,10,9,7,2.0,4.0,H,3.0,1.0,1.0,1.0
2020-21,29/11/2020,Sociedad,10,4,10,8,2.0,0.0,Villarreal,1,8,2,6,1.0,7.0,D,1.0,1.0,1.0,1.0
2020-21,30/11/2020,Betis,8,10,6,5,4.0,7.0,Eibar,2,8,3,20,1.0,6.0,A,0.0,2.0,0.0,0.0
2020-21,4/12/2020,Ath Bilbao,6,2,8,7,5.0,1.0,Celta,3,9,2,17,0.0,5.0,A,0.0,2.0,0.0,0.0
2020-21,5/12/2020,Levante,8,5,10,10,5.0,2.0,Getafe,7,6,10,12,5.0,2.0,H,3.0,0.0,2.0,0.0
2020-21,5/12/2020,Sevilla,9,5,9,3,4.0,2.0,Real Madrid,14,3,13,1,6.0,0.0,A,0.0,1.0,0.0,0.0
2020-21,5/12/2020,Ath Madrid,8,4,9,2,5.0,2.0,Valladolid,6,4,8,14,2.0,2.0,H,2.0,0.0,0.0,0.0
2020-21,5/12/2020,Cadiz,0,0,0,-1,0.0,0.0,Barcelona,13,7,9,4,5.0,4.0,H,2.0,1.0,1.0,0.0
2020-21,6/12/2020,Granada,7,11,4,6,2.0,5.0,Huesca,0,0,0,-1,0.0,0.0,D,3.0,3.0,1.0,1.0
2020-21,6/12/2020,Osasuna,7,6,7,9,1.0,2.0,Betis,7,5,9,17,2.0,3.0,A,0.0,2.0,0.0,0.0
2020-21,6/12/2020,Villarreal,5,9,4,5,2.0,4.0,Elche,0,0,0,-1,0.0,0.0,D,0.0,0.0,0.0,0.0
2020-21,6/12/2020,Alaves,4,7,2,16,2.0,2.0,Sociedad,7,9,3,7,3.0,5.0,D,0.0,0.0,0.0,0.0
2020-21,7/12/2020,Eibar,4,8,4,13,2.0,2.0,Valencia,10,6,11,10,4.0,2.0,D,0.0,0.0,0.0,0.0
2020-21,11/12/2020,Valladolid,0,1,0,18,0.0,0.0,Osasuna,0,3,0,19,0.0,0.0,H,3.0,2.0,1.0,2.0
2020-21,12/12/2020,Valencia,5,4,5,9,1.0,2.0,Ath Bilbao,1,3,1,17,1.0,1.0,D,2.0,2.0,1.0,0.0
2020-21,12/12/2020,Getafe,5,4,4,11,1.0,2.0,Sevilla,1,2,3,13,0.0,1.0,A,0.0,1.0,0.0,0.0
2020-21,12/12/2020,Huesca,1,2,3,16,0.0,0.0,Alaves,3,6,4,12,2.0,2.0,H,1.0,0.0,0.0,0.0
2020-21,12/12/2020,Real Madrid,5,2,7,6,2.0,0.0,Ath Madrid,6,2,10,2,4.0,2.0,H,2.0,0.0,1.0,0.0
2020-21,13/12/2020,Sociedad,5,7,3,15,2.0,3.0,Eibar,3,5,3,13,1.0,3.0,D,1.0,1.0,1.0,0.0
2020-21,13/12/2020,Betis,7,3,11,1,3.0,1.0,Villarreal,4,3,4,18,0.0,1.0,D,1.0,1.0,0.0,1.0
2020-21,13/12/2020,Elche,3,11,0,20,1.0,5.0,Granada,8,7,9,6,2.0,3.0,A,0.0,1.0,0.0,1.0
2020-21,13/12/2020,Barcelona,12,6,7,12,5.0,2.0,Levante,9,8,10,5,4.0,4.0,H,1.0,0.0,0.0,0.0
2020-21,14/12/2020,Celta,7,5,8,13,6.0,2.0,Cadiz,7,7,7,8,1.0,4.0,H,4.0,0.0,4.0,0.0
2020-21,15/12/2020,Real Madrid,12,3,15,2,7.0,0.0,Ath Bilbao,6,5,5,16,3.0,1.0,H,3.0,1.0,1.0,0.0
2020-21,16/12/2020,Barcelona,14,7,10,9,7.0,2.0,Sociedad,7,4,8,8,6.0,1.0,H,2.0,1.0,2.0,1.0
2020-21,18/12/2020,Ath Bilbao,7,4,7,17,3.0,1.0,Huesca,4,9,2,16,2.0,3.0,H,2.0,0.0,0.0,0.0
2020-21,19/12/2020,Ath Madrid,10,2,11,3,4.0,1.0,Elche,7,7,7,20,3.0,3.0,H,3.0,1.0,1.0,0.0
2020-21,19/12/2020,Barcelona,8,5,9,10,5.0,3.0,Valencia,8,9,4,13,5.0,7.0,D,2.0,2.0,1.0,1.0
2020-21,19/12/2020,Levante,4,12,2,14,4.0,5.0,Sociedad,9,6,6,9,7.0,4.0,H,2.0,1.0,1.0,1.0
2020-21,19/12/2020,Osasuna,4,3,7,8,1.0,0.0,Villarreal,16,4,15,5,6.0,2.0,A,1.0,3.0,0.0,2.0
2020-21,19/12/2020,Sevilla,6,7,9,2,5.0,3.0,Valladolid,6,11,3,19,2.0,6.0,D,1.0,1.0,1.0,0.0
